Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act1,Task arrival date_last_act1
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,0,1,0,0,0,0,2,0,1,100,2022-04-11 16:02:13.820
1,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-04-12 10:50:25.570
0,0,0,0,0,5,1,1,1,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,100,2022-04-13 08:15:39.620
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,100,2022-04-13 08:37:34.943
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,100,2022-04-13 09:46:18.410
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,100,2022-04-13 13:13:03.170
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,2,1,0,100,2022-04-13 16:57:39.543
1,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-04-13 17:50:13.280
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,100,2022-04-13 18:44:48.617
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,100,2022-04-13 18:57:09.380
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-04-14 11:49:21.430
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,100,2022-04-14 12:24:38.897
