Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task Type_act1,Task Type_act2,Task Type_act3,Action_act1,Action_act2,Action_act3,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Role ID_act1,Role ID_act2,Role ID_act3,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Age_act1,Age_act2,Age_act3,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act4,Task arrival date_last_act4
2022-04-14 12:24:38.897,2022-04-14 12:24:41.740,2022-04-28 12:02:50.183,100,102,102,10847,507,Robot,10847,507,Non identifiable,Initial Request,Execution,Execution,Submit initial request,Task returned to team,Task returned to team,270,290,290,0,335,171,0,165,171,1,2,3,0,10,17,6,11,0,0,7,0,49,44,0,Non applicable,Non applicable,Non applicable,3,0,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,102,2022-05-05 15:19:12.610
2022-04-26 13:13:19.697,2022-04-26 13:13:20.273,2022-04-26 13:26:25.197,100,105,106,10847,9083,4322,10847,9083,4322,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,273,0,0,1,0,0,0,1,2,3,0,0,0,6,59,21,0,5,0,49,52,57,Non applicable,Non applicable,Non applicable,1,1,2,1,0,5,1,1,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,105,2022-04-26 14:59:10.233
2022-04-29 09:26:09.583,2022-04-29 09:26:10.410,2022-04-29 16:24:40.140,100,102,103,698,4322,10606,698,4322,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,6,94,0,6,0,1,2,3,0,0,1,1,21,11,1,0,1,42,57,49,Non applicable,Non applicable,Non applicable,3,3,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,102,2022-05-03 14:30:59.680
2022-05-04 11:49:31.370,2022-05-04 11:49:31.900,2022-05-05 14:34:55.710,100,102,101,54,4322,54,54,4322,54,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,26,0,0,26,0,1,2,3,0,0,0,5,21,5,2,0,2,49,57,49,Non applicable,183,Non applicable,2,3,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,102,2022-05-05 14:53:22.673
2022-05-04 15:29:48.330,2022-05-04 15:29:48.817,2022-05-05 07:22:29.390,100,102,101,1838,4322,1838,1838,4322,1838,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,15,1,0,15,1,1,2,3,0,0,0,4,21,4,1,0,1,33,57,33,Non applicable,183,Non applicable,2,3,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,102,2022-05-05 09:03:01.953
2022-05-04 15:46:21.897,2022-05-04 15:46:23.490,2022-05-10 13:12:09.913,100,102,101,11055,4731,11055,11055,4731,11055,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,141,0,0,141,0,1,2,3,0,4,0,6,21,6,1,1,1,48,52,48,Non applicable,300,Non applicable,3,3,2,1,1,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,102,2022-05-10 13:22:26.540
2022-05-05 12:13:11.703,2022-05-05 12:13:12.187,2022-05-12 14:38:24.817,100,102,101,10150,Robot,10150,10150,Non identifiable,10150,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,170,1,0,170,1,1,2,3,0,6,0,5,0,5,1,0,1,52,0,52,Non applicable,101,Non applicable,2,0,2,1,1,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,102,2022-05-12 16:07:54.810
2022-05-05 13:17:39.857,2022-05-05 13:17:40.637,2022-05-12 15:00:14.593,100,102,103,8269,Robot,73,8269,Non identifiable,73,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,169,0,0,169,0,1,2,3,0,6,0,5,0,8,1,0,2,56,0,53,Non applicable,Non applicable,Non applicable,2,0,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,102,2022-05-12 15:32:45.513
2022-05-05 17:26:43.957,2022-05-05 17:26:46.990,2022-05-05 17:51:38.920,100,105,106,9102,9083,4322,9102,9083,4322,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,273,0,0,376,0,0,164,1,2,3,0,0,15,5,59,21,3,5,0,54,52,57,Non applicable,Non applicable,Non applicable,0,1,2,1,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,105,2022-05-21 10:40:29.387
2022-05-06 15:52:58.190,2022-05-06 15:52:59.097,2022-05-21 11:57:16.110,100,102,101,2059,4322,2059,2059,4322,2059,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,356,45,0,355,44,1,2,3,0,11,0,1,21,1,1,0,1,24,57,24,Non applicable,183,Non applicable,1,3,2,1,1,10,1,1,1,1,1,1,1,0,1,1,1,3,0,0,0,1,0,0,0,1,0,2,0,102,2022-05-23 09:08:05.940
