Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Task arrival date_act4,Task arrival date_act5,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Actvity ID_act4,Actvity ID_act5,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task Executer_act4,Task Executer_act5,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task executer department_act4,Task executer department_act5,Task Type_act1,Task Type_act2,Task Type_act3,Task Type_act4,Task Type_act5,Action_act1,Action_act2,Action_act3,Action_act4,Action_act5,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,idBPMApplicationAction_act4,idBPMApplicationAction_act5,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and execution_act4,Period between arrival and execution_act5,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Period between arrival and capture_act4,Period between arrival and capture_act5,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Cumulative Length of Process_act4,Cumulative Length of Process_act5,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Overdue Days_act4,Overdue Days_act5,Role ID_act1,Role ID_act2,Role ID_act3,Role ID_act4,Role ID_act5,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Years in Org Position_act4,Years in Org Position_act5,Age_act1,Age_act2,Age_act3,Age_act4,Age_act5,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,idBPMRequirement_act4,idBPMRequirement_act5,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act6,Task arrival date_last_act6
2022-04-29 09:26:09.583,2022-04-29 09:26:10.410,2022-04-29 16:24:40.140,2022-05-03 14:30:59.680,2022-05-04 09:45:17.197,100,102,103,102,103,698,4322,10606,4322,10606,698,4322,10606,4322,10606,Initial Request,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,278,273,278,0,6,94,19,2,0,6,0,17,1,1,2,3,4,5,0,0,1,0,0,1,21,11,21,11,1,0,1,0,1,42,57,49,57,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,5,3,2,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,102,2022-05-04 11:46:38.793
2022-05-05 12:13:11.703,2022-05-05 12:13:12.187,2022-05-12 14:38:24.817,2022-05-12 16:07:54.810,2022-06-29 12:00:18.520,100,102,101,102,103,10150,Robot,10150,4960,10606,10150,Non identifiable,10150,4960,10606,Initial Request,Execution,Requester response to rejection,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,273,278,0,170,1,1147,2,0,170,1,141,2,1,2,3,4,5,0,6,0,46,0,5,0,5,21,11,1,0,1,0,1,52,0,52,46,49,Non applicable,101,Non applicable,Non applicable,Non applicable,2,2,3,2,1,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,102,2022-06-29 14:27:43.500
2022-05-16 17:20:24.983,2022-05-16 17:20:26.627,2022-05-17 11:22:22.387,2022-05-17 11:58:48.703,2022-05-17 13:43:40.990,100,102,103,102,103,6869,Robot,10606,Robot,10606,6869,Non identifiable,10606,Non identifiable,10606,Initial Request,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,273,278,273,278,0,18,0,1,91,0,17,0,1,0,1,2,3,4,5,0,0,0,0,2,5,0,11,0,11,5,0,1,0,1,60,0,49,0,49,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,3,3,2,0,6,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,102,2022-05-21 09:35:32.947
2022-05-18 10:08:59.030,2022-05-18 10:09:08.170,2022-05-18 12:14:07.533,2022-05-18 12:52:10.403,2022-05-18 13:33:29.900,100,105,101,105,101,6797,9083,6797,9083,6797,6797,9083,6797,9083,6797,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,2,0,0,2,0,0,0,0,1,1,2,3,4,5,0,0,0,0,0,5,59,5,59,5,10,5,10,5,10,65,52,65,52,65,Non applicable,300,Non applicable,300,Non applicable,3,0,5,0,2,5,1,1,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,105,2022-05-18 16:11:41.473
2022-05-19 15:55:12.623,2022-05-19 15:55:15.170,2022-05-22 17:33:43.727,2022-05-23 09:12:15.410,2022-05-23 12:10:27.937,100,102,101,105,106,9296,4322,9296,10027,507,9296,4322,9296,10027,507,Initial Request,Execution,Requester response to rejection,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,273,273,0,73,15,2,265,0,73,14,2,265,1,2,3,4,5,0,2,0,0,10,5,21,5,59,11,3,0,3,5,7,50,57,50,48,44,Non applicable,661,Non applicable,Non applicable,Non applicable,3,3,4,1,1,6,1,1,1,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,105,2022-06-03 13:24:46.100
2022-05-20 11:46:44.543,2022-05-20 11:46:48.933,2022-05-22 11:36:10.690,2022-05-22 12:09:55.480,2022-06-14 12:16:59.487,100,102,103,104,107,107,4322,10606,107,107,107,4322,10606,107,107,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,47,0,552,0,0,47,0,552,0,1,2,3,4,5,0,0,0,21,0,6,21,11,6,6,9,0,1,9,9,48,57,49,48,48,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,2,4,1,0,7,1,1,1,1,1,1,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,102,2022-06-14 12:18:41.713
2022-05-23 10:01:44.477,2022-05-23 10:01:45.133,2022-05-23 12:25:44.980,2022-05-23 13:39:03.160,2022-05-23 13:51:42.033,100,102,101,102,101,10993,4960,10993,4960,10993,10993,4960,10993,4960,10993,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,2,1,0,20,0,2,1,0,19,1,2,3,4,5,0,0,0,0,0,5,21,5,21,5,2,0,2,0,2,54,46,54,46,54,Non applicable,183,Non applicable,183,Non applicable,1,2,3,2,2,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,0,1,1,0,0,0,2,0,0,102,2022-05-24 10:20:32.923
2022-05-24 08:44:59.017,2022-05-24 08:44:59.597,2022-05-26 13:43:04.500,2022-05-26 13:45:43.933,2022-05-26 14:08:13.370,100,102,103,104,107,7341,Robot,10606,7341,7341,7341,Non identifiable,10606,7341,7341,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,273,282,278,0,52,0,0,0,0,2,0,0,0,1,2,3,4,5,0,1,0,0,0,5,0,11,5,5,2,0,1,2,2,60,0,49,60,60,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,1,4,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,102,2022-05-26 14:10:00.770
2022-05-24 09:25:35.023,2022-05-24 09:25:35.943,2022-05-24 12:07:07.500,2022-05-24 12:22:27.917,2022-05-24 12:38:18.713,100,102,101,102,101,1537,4960,1537,4960,1537,1537,4960,1537,4960,1537,Initial Request,Execution,Requester response to rejection,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,271,272,0,2,0,0,4,0,2,0,0,0,1,2,3,4,5,0,0,0,0,0,5,21,5,21,5,5,0,5,0,5,34,46,34,46,34,Non applicable,183,Non applicable,183,Non applicable,0,5,3,2,2,5,1,1,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,102,2022-05-24 16:54:19.797
2022-05-25 19:24:29.240,2022-05-25 19:24:29.757,2022-08-11 07:49:52.870,2022-08-11 10:00:34.273,2022-08-11 10:19:41.363,100,102,103,104,107,7730,4322,10606,7730,7730,7730,4322,10606,7730,7730,Initial Request,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,273,300,282,278,0,1860,2,0,0,0,574,2,0,0,1,2,3,4,5,0,76,0,0,0,5,21,11,5,5,2,0,1,2,2,59,57,49,59,59,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,2,4,1,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,102,2022-08-11 10:48:41.407
