Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Task arrival date_act4,Task arrival date_act5,Task arrival date_act6,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Actvity ID_act4,Actvity ID_act5,Actvity ID_act6,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task Executer_act4,Task Executer_act5,Task Executer_act6,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task executer department_act4,Task executer department_act5,Task executer department_act6,Task Type_act1,Task Type_act2,Task Type_act3,Task Type_act4,Task Type_act5,Task Type_act6,Action_act1,Action_act2,Action_act3,Action_act4,Action_act5,Action_act6,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,idBPMApplicationAction_act4,idBPMApplicationAction_act5,idBPMApplicationAction_act6,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and execution_act4,Period between arrival and execution_act5,Period between arrival and execution_act6,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Period between arrival and capture_act4,Period between arrival and capture_act5,Period between arrival and capture_act6,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Cumulative Length of Process_act4,Cumulative Length of Process_act5,Cumulative Length of Process_act6,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Overdue Days_act4,Overdue Days_act5,Overdue Days_act6,Role ID_act1,Role ID_act2,Role ID_act3,Role ID_act4,Role ID_act5,Role ID_act6,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Years in Org Position_act4,Years in Org Position_act5,Years in Org Position_act6,Age_act1,Age_act2,Age_act3,Age_act4,Age_act5,Age_act6,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,idBPMRequirement_act4,idBPMRequirement_act5,idBPMRequirement_act6,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act7,Task arrival date_last_act7
2022-04-29 09:26:09.583,2022-04-29 09:26:10.410,2022-04-29 16:24:40.140,2022-05-03 14:30:59.680,2022-05-04 09:45:17.197,2022-05-04 11:46:38.793,100,102,103,102,103,102,698,4322,10606,4322,10606,4731,698,4322,10606,4322,10606,4731,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Task returned to team,270,273,278,273,278,290,0,6,94,19,2,22,0,6,0,17,1,22,1,2,3,4,5,6,0,0,1,0,0,0,1,21,11,21,11,21,1,0,1,0,1,1,42,57,49,57,49,52,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,6,3,3,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,102,2022-05-05 10:14:02.053
2022-05-27 16:44:01.557,2022-05-27 16:44:02.917,2022-05-30 11:11:56.690,2022-06-01 15:28:55.420,2022-06-01 15:59:46.877,2022-06-01 16:13:26.693,100,105,106,105,107,102,11183,10027,4960,10027,11183,Robot,11183,10027,4960,10027,11183,Non identifiable,Initial Request,Execution,Execution,Execution,Final task,Execution,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Non identifiable,270,273,273,282,278,301,0,66,52,0,0,188,0,66,51,0,0,144,1,2,3,4,5,6,0,0,2,0,0,6,1,59,21,59,1,0,1,5,0,5,1,0,46,48,46,48,46,0,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,0,3,4,2,0,6,1,1,1,1,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,102,2022-06-09 12:50:07.297
2022-06-30 16:36:12.553,2022-06-30 16:36:25.633,2022-07-01 15:25:30.353,2022-07-16 11:16:57.763,2022-07-17 23:58:12.160,2022-07-18 18:49:33.530,100,102,102,103,104,107,8725,Robot,4322,10606,8725,8725,8725,Non identifiable,4322,10606,8725,8725,Initial Request,Execution,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,301,273,273,282,278,0,22,355,36,18,0,0,21,339,36,18,0,1,2,3,4,5,6,0,0,11,0,0,0,6,0,21,11,6,6,2,0,0,1,2,2,56,0,57,49,56,56,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,2,4,2,0,8,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,102,2022-07-18 18:51:21.493
2022-07-07 12:29:51.620,2022-07-07 12:30:02.590,2022-07-10 16:46:33.067,2022-07-10 16:55:28.047,2022-07-20 15:38:17.097,2023-01-26 16:55:22.507,100,102,103,104,104,104,4834,4731,10606,Robot,Robot,724,4834,4731,10606,Non identifiable,Non identifiable,724,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Task returned to team,Task returned to team,Non identifiable,270,273,273,290,290,279,0,76,0,238,4561,664,0,76,0,0,42,0,1,2,3,4,5,6,0,2,0,9,199,226,21,21,11,0,0,30,1,1,1,0,0,1,22,52,49,0,0,45,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,0,4,2,4,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,102,2023-02-23 09:25:23.987
2022-07-28 14:03:25.790,2022-07-28 14:03:26.493,2022-07-30 19:15:45.270,2022-08-17 09:36:20.777,2022-08-17 10:18:22.427,2022-08-17 10:44:18.880,100,102,102,103,104,107,673,4731,5268,10606,10001,10184,673,4731,5268,10606,10001,10184,Initial Request,Execution,Execution,Execution,Execution,Final task,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Task executed with success,Non identifiable,270,301,273,300,282,278,0,53,422,0,0,25,0,53,422,0,0,25,1,2,3,4,5,6,0,1,15,0,0,0,2,21,21,11,5,6,1,1,1,1,1,2,43,52,54,49,54,53,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,4,4,2,0,9,1,1,1,1,0,1,1,0,1,1,1,1,2,1,0,1,0,0,0,0,1,1,0,102,2022-08-18 11:49:34.677
2022-09-13 10:42:57.177,2022-09-13 10:43:00.347,2022-09-15 16:52:48.957,2022-09-15 17:05:44.727,2022-09-16 11:45:28.527,2022-09-16 11:48:02.477,100,102,101,102,103,104,362,4731,362,4731,10606,10650,362,4731,362,4731,10606,10650,Initial Request,Execution,Requester response to rejection,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,271,272,273,300,279,0,54,0,18,0,4,0,54,0,18,0,0,1,2,3,4,5,6,0,1,0,0,0,0,5,21,5,21,11,6,1,1,1,1,1,0,45,52,45,52,49,50,Non applicable,300,Non applicable,Non applicable,Non applicable,Non applicable,3,5,4,2,1,7,1,1,1,1,1,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,102,2022-09-16 15:59:27.023
2022-09-27 18:09:18.387,2022-09-27 18:09:18.903,2022-09-28 15:04:59.620,2022-09-28 15:28:46.830,2022-09-29 08:45:47.880,2022-09-30 11:38:17.580,100,102,103,104,107,102,7284,4960,10606,8747,7284,4322,7284,4960,10606,8747,7284,4322,Initial Request,Execution,Execution,Execution,Final task,Execution,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Task returned to team,270,273,300,282,278,290,0,20,0,17,26,3,0,20,0,0,2,3,1,2,3,4,5,6,0,0,0,0,0,0,5,21,11,5,5,21,3,0,1,1,3,0,57,46,49,57,57,57,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,4,4,2,0,7,1,1,1,1,1,1,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,102,2022-09-30 15:22:44.840
2022-09-29 17:13:04.450,2022-09-29 17:13:05.700,2022-10-01 19:11:50.150,2022-10-01 19:12:55.513,2022-10-02 12:05:15.040,2022-10-31 08:42:59.747,100,102,108,103,104,102,609,4731,4731,10606,10942,4322,609,4731,4731,10606,10942,4322,Initial Request,Execution,Execution,Execution,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,Non identifiable,Non identifiable,Non identifiable,270,274,273,300,279,301,0,49,0,16,692,4,0,22,0,16,20,1,1,2,3,4,5,6,0,1,0,0,27,0,1,21,21,11,6,21,3,1,1,1,1,0,43,52,52,49,52,57,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,6,3,3,0,6,1,1,1,1,0,1,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,102,2022-10-31 13:12:44.570
2022-10-27 09:10:49.170,2022-10-27 09:10:51.450,2022-10-28 15:10:11.707,2022-10-28 15:22:58.823,2022-10-31 13:09:22.820,2022-10-31 14:00:20.143,100,102,103,104,107,102,425,4731,10606,425,425,4322,425,4731,10606,425,425,4322,Initial Request,Execution,Execution,Execution,Final task,Execution,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Non identifiable,270,273,300,282,278,301,0,29,0,69,0,0,0,29,0,69,0,0,1,2,3,4,5,6,0,0,0,0,0,0,5,21,11,5,5,21,1,1,1,1,1,0,47,52,49,47,47,57,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,3,3,4,2,0,6,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,102,2022-10-31 14:05:03.447
2022-10-28 09:47:06.927,2022-10-28 09:47:07.437,2022-10-30 10:26:16.930,2022-10-30 14:20:13.440,2022-11-21 10:06:14.280,2022-11-21 10:18:51.577,100,102,103,104,107,102,10269,4322,10606,10269,10269,Robot,10269,4322,10606,10269,10269,Non identifiable,Initial Request,Execution,Execution,Execution,Final task,Execution,Submit initial request,Non identifiable,Non identifiable,Task executed with success,Non identifiable,Non identifiable,270,273,300,282,278,301,0,48,3,523,0,52,0,22,3,18,0,52,1,2,3,4,5,6,0,1,0,20,0,1,5,21,11,5,5,0,3,0,1,3,3,0,51,57,49,51,51,0,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,2,5,4,2,0,6,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,102,2022-11-23 14:42:50.897
